https://etherscan.io/address/0x793f6c86da7109f83fbb9cd6592cfa9e89a95616#analytics,['from', '5', 'hrs', '25', 'mins', 'ago'],['from', '1258', 'days', '3', 'hrs', 'ago'],77982.15,77.87361964704873,116246.56
https://etherscan.io/address/0x793f6c86da7109f83fbb9cd6592cfa9e89a95616#analytics,['from', '5', 'hrs', '25', 'mins', 'ago'],['from', '1258', 'days', '3', 'hrs', 'ago'],77982.15,77.87361964704873,116246.56
https://etherscan.io/address/0xe3a259f673b257095b19825614027fa9b978e146#analytics,['from', '1010', 'days', '41', 'mins', 'ago'],['from', '1283', 'days', '17', 'hrs', 'ago'],13.10,32.12265864863147,8854.61
https://etherscan.io/address/0xb75994a4972e07e2a37b89d716685aecbba6c0c4#analytics,['from', '18', 'days', '3', 'hrs', 'ago'],['from', '1699', 'days', '13', 'hrs', 'ago'],47.85,5.066704,7898.09
https://etherscan.io/address/0x98b0b3af0b58333979adb6f182137144f2566f66#analytics,['from', '1', 'day', '5', 'hrs', 'ago'],['from', '1299', 'days', '7', 'hrs', 'ago'],10569.74,19.38351131012651,5332.1
https://etherscan.io/address/0xe8c0c83c181aacdab4f48624b5574cc88ad8e840#analytics,['from', '896', 'days', '8', 'hrs', 'ago'],['from', '1232', 'days', '2', 'hrs', 'ago'],0.00,77.94674337579336,28049.92
https://etherscan.io/address/0xec9f4a83813f83b9da7812128f076cbb66c61cec#analytics,['from', '12', 'hrs', '4', 'mins', 'ago'],['from', '2133', 'days', '13', 'hrs', 'ago'],2982.48,6.7459148348297955,5683.79
https://etherscan.io/address/0x796308116a54086e9cef325737f37189f2a79cbd#analytics,['from', '28', 'days', '15', 'hrs', 'ago'],['from', '1215', 'days', '7', 'hrs', 'ago'],239.11,60.579801152804585,74478.83
https://etherscan.io/address/0x8d74eec08e2d171d2e396254bdc4e81c6d4aa80c#analytics,['from', '844', 'days', '13', 'hrs', 'ago'],['from', '1209', 'days', '5', 'hrs', 'ago'],0.00,74.81974700134197,29233.57
https://etherscan.io/address/0x9937f99db80a8ea325e1ca5d08c7212165fc7ebf#analytics,['from', '952', 'days', '10', 'hrs', 'ago'],['from', '1208', 'days', '13', 'hrs', 'ago'],18.35,22.524011379662355,7811.55
https://etherscan.io/address/0x0f5c47bdeffeb8bfc5abbf8dde342cf7c1cc1f85#analytics,['from', '2', 'days', '15', 'hrs', 'ago'],['from', '1283', 'days', '6', 'hrs', 'ago'],248.58,4.327495817513211,5226.42
https://etherscan.io/address/0xa21bb86c5ea3e3ed98baa50be086ee0fb931843f#analytics,['from', '151', 'days', '8', 'hrs', 'ago'],['from', '2180', 'days', '7', 'hrs', 'ago'],37463.32,329.39569097567346,265105.18
https://etherscan.io/address/0xd21c8d2ed78c25fade8966c42f1cec79288c205d#analytics,['from', '676', 'days', '6', 'hrs', 'ago'],['from', '1268', 'days', '11', 'hrs', 'ago'],11752210.73,67.0209247850565,29477.81
https://etherscan.io/address/0xad02b6d3f43e22289c20f2843832f5e6c22fd472#analytics,['from', '12', 'days', '22', 'hrs', 'ago'],['from', '1625', 'days', '3', 'hrs', 'ago'],5888.14,36.069826415229684,100060.72
https://etherscan.io/address/0x3dd4234daeefbabceaa6068c04c3f75f19aa2cda#analytics,['from', '76', 'days', '10', 'hrs', 'ago'],['from', '1213', 'days', '7', 'hrs', 'ago'],992.67,66.89135210331526,167877.23
https://etherscan.io/address/0x137e1232533ed914201b04c1c04dafe3a16a4b8b#analytics,['from', '412', 'days', '6', 'hrs', 'ago'],['from', '1239', 'days', '7', 'hrs', 'ago'],3.27,10.389477220097078,4322.44
https://etherscan.io/address/0x796308116a54086e9cef325737f37189f2a79cbd#analytics,['from', '28', 'days', '15', 'hrs', 'ago'],['from', '1215', 'days', '7', 'hrs', 'ago'],239.14,60.579801152804585,74478.83
https://etherscan.io/address/0xdd963ec4c0841f719f1cf88a2e9ba5a65c14a8f1#analytics,['from', '51', 'days', '10', 'hrs', 'ago'],['from', '1275', 'days', '16', 'hrs', 'ago'],10.98,33.5750565403142,11841.18
https://etherscan.io/address/0xa538311df7dc52bbe861f6e3efdd749730503cae#analytics,['from', '13', 'days', '6', 'hrs', 'ago'],['from', '1434', 'days', '5', 'hrs', 'ago'],424.73,61.364311438342355,114998.04
https://etherscan.io/address/0xf5ee1986c9ec8601e8da5f6e2aea1a19f582d224#analytics,['from', '15', 'days', '6', 'hrs', 'ago'],['from', '1283', 'days', '1', 'hr', 'ago'],1009.88,137.23333086767903,50652.8
https://etherscan.io/address/0x54b04cfd7b35543bca96cccfac0a768cbb880bab#analytics,['from', '144', 'days', '2', 'hrs', 'ago'],['from', '1255', 'days', '5', 'hrs', 'ago'],805.20,6.297024670683614,6808.23
https://etherscan.io/address/0xd3f714357a3a5ab971941ca475a006814edd0d2b#analytics,['from', '8', 'days', '13', 'hrs', 'ago'],['from', '1254', 'days', '14', 'hrs', 'ago'],18484.03,230.3478117751967,153447.64
https://etherscan.io/address/0xfc386a6aced09df1537ef70950a3c482c40e5088#analytics,['from', '566', 'days', '2', 'hrs', 'ago'],['from', '2132', 'days', '10', 'hrs', 'ago'],9.23,8.181323311309296,6133.38
https://etherscan.io/address/0xb25b1499bdbeb5a23653798364faec4ee464867f#analytics,['from', '935', 'days', '18', 'hrs', 'ago'],['from', '1217', 'days', '3', 'hrs', 'ago'],3301.44,248.5781900306378,104994.46
https://etherscan.io/address/0x94988487e4904e8085bd18edd9f4192c6e1744f2#analytics,['from', '945', 'days', '6', 'hrs', 'ago'],['from', '1232', 'days', '5', 'hrs', 'ago'],12.34,30.50406721226643,12383.44
https://etherscan.io/address/0x70a900cf0237d864e944b056c43b7ec5d25bbb3c#analytics,['from', '123', 'days', '6', 'hrs', 'ago'],['from', '1217', 'days', '20', 'hrs', 'ago'],15.82,6.354372823678414,3607.19
https://etherscan.io/address/0x437c73b2bfc54e83f208b3fbb37ef74ef85b8640#analytics,['from', '1198', 'days', '3', 'hrs', 'ago'],['from', '1257', 'days', '19', 'hrs', 'ago'],0.00,0.6378557373384754,252
https://etherscan.io/address/0xeafe863757a2b2a2c5c3f71988b7d59329d09a78#analytics,['from', '154', 'days', '5', 'hrs', 'ago'],['from', '2179', 'days', '13', 'hrs', 'ago'],3912.34,63.4109357815757,24748.02
https://etherscan.io/address/0x54496860ffe1f5b62e29e362eaf1c99f2f26e0e1#analytics,['from', '984', 'days', '6', 'hrs', 'ago'],['from', '1274', 'days', '13', 'hrs', 'ago'],7.51,1.2531812359824692,2311.92
https://etherscan.io/address/0x11519ba13c6b5494f971baff171a1045261bed6c#analytics,['from', '27', 'days', '13', 'hrs', 'ago'],['from', '2136', 'days', '6', 'hrs', 'ago'],6917.50,4.206257679426577,5469.27
https://etherscan.io/address/0xa6ed98c6223d109df29c411946093d4a071aec69#analytics,['from', '48', 'mins', 'ago'],['from', '2142', 'days', '14', 'hrs', 'ago'],930.52,26.09319283,53980.55
https://etherscan.io/address/0x1a0b23c7a77bc756427a0d03fbcd796c98a3e663#analytics,['from', '2', 'days', '5', 'hrs', 'ago'],['from', '2135', 'days', '13', 'hrs', 'ago'],726.23,20.329407838387816,15228.36
https://etherscan.io/address/0xb25b1499bdbeb5a23653798364faec4ee464867f#analytics,['from', '935', 'days', '18', 'hrs', 'ago'],['from', '1217', 'days', '3', 'hrs', 'ago'],3301.44,248.5781900306378,104994.46
https://etherscan.io/address/0x9ae07f7977f4371f0ea47dd4db69d1991fa14116#analytics,['from', '236', 'days', '12', 'hrs', 'ago'],['from', '2056', 'days', '12', 'hrs', 'ago'],0.43,35.83643312113753,13731.8
https://etherscan.io/address/0x0d4ddea3849c54e16c85cb4354943dc876e05552#analytics,['from', '1', 'hr', '10', 'mins', 'ago'],['from', '1985', 'days', '5', 'hrs', 'ago'],421.73,88.21185001608721,196330.02
https://etherscan.io/address/0xba03eca6b692532648c4da21840fb9af578147a2#analytics,['from', '6', 'days', '2', 'hrs', 'ago'],['from', '1263', 'days', '21', 'hrs', 'ago'],251.85,38.66128410310415,27959.15
https://etherscan.io/address/0x7f5d7964c8569252aa781f4c516d240965dddab5#analytics,['from', '675', 'days', '11', 'hrs', 'ago'],['from', '1251', 'days', '3', 'hrs', 'ago'],7.62,86.32969148740123,33730.74
https://etherscan.io/address/0x2a534e0186d3ba764bd28c612a9c8079134f2c36#analytics,['from', '112', 'days', '2', 'hrs', 'ago'],['from', '1903', 'days', '7', 'hrs', 'ago'],334.29,61.782019237327404,40830.13
https://etherscan.io/address/0xf818acec29861228630df8361a611e0f88302958#analytics,['from', '11', 'days', '6', 'hrs', 'ago'],['from', '1246', 'days', '14', 'hrs', 'ago'],155.52,139.37549815208908,563993.25
https://etherscan.io/address/0x0788373603522a79fcc5710910c20067f64bad17#analytics,['from', '3', 'days', '9', 'hrs', 'ago'],['from', '1215', 'days', '8', 'hrs', 'ago'],193589.14,80.62888848525611,52736.24
https://etherscan.io/address/0xc6aad8588ed7bc71a94b69c7f1824b33b3e4ab73#analytics,['from', '1081', 'days', '14', 'hrs', 'ago'],['from', '1219', 'days', '14', 'hrs', 'ago'],0.16,18.849027089002515,7298.15
https://etherscan.io/address/0x4202c5aa18c934b96bc4aedb3da4593c44076618#analytics,['from', '11', 'days', '1', 'hr', 'ago'],['from', '2217', 'days', '7', 'hrs', 'ago'],84.35,139.96557725765405,83997.41
https://etherscan.io/address/0xc1ba9285acbae7dc403153f9e5c2b4108ab5acdc#analytics,['from', '16', 'days', '6', 'hrs', 'ago'],['from', '1231', 'days', '16', 'hrs', 'ago'],5205.80,62.931165325920745,113890.31
https://etherscan.io/address/0x32000b565101e495d6e4b531d8251e0a0b3c7341#analytics,['from', '24', 'days', '10', 'hrs', 'ago'],['from', '1890', 'days', '11', 'hrs', 'ago'],176173.73,420,314165.36
https://etherscan.io/address/0xfe02cde742141321b7edd332eb0977a5976bc862#analytics,['from', '24', 'days', '17', 'hrs', 'ago'],['from', '2366', 'days', '9', 'hrs', 'ago'],0.75,19.784495593532146,10895.26
https://etherscan.io/address/0x1da8469b048592baa0aa4fa28842a9e63bcfdc8c#analytics,['from', '69', 'days', '9', 'hrs', 'ago'],['from', '1364', 'days', '6', 'hrs', 'ago'],3675.56,142.64501701418237,62551.27
https://etherscan.io/address/0x5ccbb4c11f4ece1e0f45cc19e5a8b534d2d08db9#analytics,['from', '465', 'days', '15', 'hrs', 'ago'],['from', '2129', 'days', '28', 'mins', 'ago'],11.83,71.79862481585747,26301.99
https://etherscan.io/address/0x1effb1361921130b9d5259da5fabc91c3efb6234#analytics,['from', '91', 'days', '14', 'hrs', 'ago'],['from', '2233', 'days', '3', 'hrs', 'ago'],5682.12,14.077421610978073,7939.98
https://etherscan.io/address/0x8e4bd57f0b7959c01ba1f138c7bfc5f6f3efc6da#analytics,['from', '5', 'days', '17', 'hrs', 'ago'],['from', '1210', 'days', '23', 'hrs', 'ago'],1563.84,13.830831886621594,7765.21
https://etherscan.io/address/0xf0683aba1f7756f85e861af58fcbac1c2da317fe#analytics,['from', '21', 'days', '7', 'hrs', 'ago'],['from', '1247', 'days', '10', 'hrs', 'ago'],0.39,10.447540671814856,4758.58
https://etherscan.io/address/0x59739ae7edd03b22aa206ab4412174ae5c49c58a#analytics,['from', '746', 'days', '11', 'hrs', 'ago'],['from', '1226', 'days', '8', 'hrs', 'ago'],33.43,11.695013947209317,5128.38
https://etherscan.io/address/0x67d9057494e2e1b7361251043843db3c2abf8177#analytics,['from', '18', 'days', '13', 'mins', 'ago'],['from', '2329', 'days', '2', 'hrs', 'ago'],764.60,34.857128018859115,64066.34
https://etherscan.io/address/0x65eec2b3dbe259d2c57bb5a659532d69f11ce59c#analytics,['from', '6', 'days', '9', 'hrs', 'ago'],['from', '2121', 'days', '19', 'hrs', 'ago'],287.56,30.050983408823825,13387.72
https://etherscan.io/address/0xf251efb1d2f28204b2cd77ff30e9dc7564adfafd#analytics,['from', '8', 'hrs', '10', 'mins', 'ago'],['from', '1275', 'days', '8', 'hrs', 'ago'],15331.31,21.90958483100595,16209.02
https://etherscan.io/address/0xa4bd4e4d2e8c72720839823f6c20f411f7ddb1f1#analytics,['from', '607', 'days', '4', 'hrs', 'ago'],['from', '1301', 'days', '5', 'hrs', 'ago'],0.84,87.78492073840587,91309.75
https://etherscan.io/address/0xa512e549d68f15a9f23c1df98970e684301ac1e7#analytics,['from', '187', 'days', '20', 'hrs', 'ago'],['from', '1227', 'days', '14', 'hrs', 'ago'],240.48,16.680421897590854,10488.79
https://etherscan.io/address/0x4dbe965abcb9ebc4c6e9d95aeb631e5b58e70d5b#analytics,['from', '2', 'days', '23', 'hrs', 'ago'],['from', '1219', 'days', '10', 'hrs', 'ago'],6000488.78,2,000.5591494024493,4687086.94
https://etherscan.io/address/0x2d72b01d7bd9be7512e39d824d353e4b824d0569#analytics,['from', '705', 'days', '2', 'hrs', 'ago'],['from', '2289', 'days', '1', 'hr', 'ago'],42.10,32.96356720543712,12636.25
https://etherscan.io/address/0x36f88a27e81cd04c8f895e46aa0cf003c689e4f0#analytics,['from', '260', 'days', '21', 'hrs', 'ago'],['from', '1231', 'days', '19', 'hrs', 'ago'],0.54,7.285207222385868,2792.58
https://etherscan.io/address/0x1de6eec2c08830bbec7884f1fc6b502521ae2e54#analytics,['from', '9', 'days', '5', 'hrs', 'ago'],['from', '1568', 'days', '5', 'hrs', 'ago'],495.47,40.931021520968145,75313.79
https://etherscan.io/address/0x56dba2a052bc7009b2c5dd1463a8f30b7475893c#analytics,['from', '694', 'days', '4', 'hrs', 'ago'],['from', '1268', 'days', '8', 'hrs', 'ago'],165.99,113.97057000335028,126782.5
https://etherscan.io/address/0xe635b15291f31c1ba6c7a6c3d26cbdf6c0f77204#analytics,['from', '17', 'days', '4', 'hrs', 'ago'],['from', '1230', 'days', '20', 'hrs', 'ago'],318.56,6.018849403275333,12777.76
https://etherscan.io/address/0x9a62f05f0d96d81ce18e1c831bcf02e0a6eba2f9#analytics,['from', '2', 'days', '15', 'hrs', 'ago'],['from', '2122', 'days', '2', 'hrs', 'ago'],1582.90,9.735378184847358,10949.25
https://etherscan.io/address/0x91276636cce43c159f31eb787e46e8d08f56d894#analytics,['from', '125', 'days', '14', 'hrs', 'ago'],['from', '1268', 'days', '6', 'hrs', 'ago'],109.67,18.69247376524083,15760.89
https://etherscan.io/address/0xe536eca92b17c3886eb8aee0df348efe9f040de7#analytics,['from', '3', 'days', '23', 'hrs', 'ago'],['from', '1217', 'days', '4', 'hrs', 'ago'],785.47,14.090639925022797,23253.34
https://etherscan.io/address/0x94256ed76cb12d4036f10fccc12d221ef495e25b#analytics,['from', '5', 'hrs', '12', 'mins', 'ago'],['from', '1216', 'days', '5', 'hrs', 'ago'],11827.08,40.32535905801015,179253.72
https://etherscan.io/address/0x7285502ed0a0ed25f65941e480bda7114492acf9#analytics,['from', '21', 'days', '12', 'hrs', 'ago'],['from', '1432', 'days', '58', 'mins', 'ago'],141.84,25.105280884780193,95091.27
https://etherscan.io/address/0x66235644e6ca122c4436566656893c8acf024f2a#analytics,['from', '200', 'days', '17', 'hrs', 'ago'],['from', '2037', 'days', '13', 'hrs', 'ago'],0.00,15.310524256429284,5963.3
https://etherscan.io/address/0x50a1d8ede640bc5bef89b3bd1082c0b097bfb489#analytics,['from', '1106', 'days', '7', 'hrs', 'ago'],['from', '1208', 'days', '21', 'hrs', 'ago'],0.21,10.786671948705047,4125.47
https://etherscan.io/address/0x5902385d185ab3a38f2a0ca9b244979124962793#analytics,['from', '6', 'days', '23', 'hrs', 'ago'],['from', '1357', 'days', '20', 'hrs', 'ago'],14484.42,58.69741725636371,36639.1
https://etherscan.io/address/0x5ea7ea516720a8f59c9d245e2e98bca0b6df7441#analytics,['from', '178', 'days', '17', 'hrs', 'ago'],['from', '1499', 'days', '18', 'hrs', 'ago'],7049.92,57.670419839758665,81422.98
https://etherscan.io/address/0xc579e4fdb3fe549e6debce023eba5756895d38ab#analytics,['from', '73', 'days', '6', 'hrs', 'ago'],['from', '1219', 'days', '4', 'hrs', 'ago'],229.48,6.1385995701427,2374.16
https://etherscan.io/address/0xbfd564b164df29fba39ad8f7a34631f860bbeea3#analytics,['from', '885', 'days', '22', 'hrs', 'ago'],['from', '1240', 'days', '51', 'mins', 'ago'],9.09,8.290104811836628,3295.81
https://etherscan.io/address/0x9745331c63b6fb5e1e348dfd54bfde5afcde0c24#analytics,['from', '5', 'days', '7', 'hrs', 'ago'],['from', '2015', 'days', '4', 'hrs', 'ago'],1653.40,4.1418890132845725,3200.52
https://etherscan.io/address/0xd6217860307386428315cfe57449a0bcad5383cd#analytics,['from', '146', 'days', '16', 'hrs', 'ago'],['from', '1212', 'days', '19', 'hrs', 'ago'],2.35,42.35610317343633,27825.54
