coin,numHolders,link,sum
ERC-20 TOKEN*,77,0x1883a07c429e84aca23b041c357e1d21a2b645f3,0.0
ERC-20 TOKEN*,43,0x2d772a7aac104b5500665689b8bef5c49dda7e46,0.0
Matic Token (MATIC),357,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,29960988.02999998
# quant.gift... (Visit ...),32,0x22ae10a128D45d3538F9F846f89f35d4b0520e8a,0.0
# quantproto... (Visit ...),19,0x82D88b2FDC5c481D2D163faC04961cDBefa0341d,0.0
$ get-MATIC.... (Visit ...),10,0x30f821e4a4d65F23FE8f3b9D993A9AdE6A6fe773,0.0
DAO Maker (DAO),965,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,24771897.640000027
Education (LEDU),357,0xc741f06082aa47f93729070ad0dd95e223bda091,3728.809999999972
BiFi (BiFi),521,0x2791bfd60d232150bff86b39b7146c0eaaa2ba81,4365863.74999998
Genesis Pool (GPOOL),357,0x797de1dc0b9faf5e25c1f7efe8df9599138fa09d,0.0
Covalent Que... (CQT),1333,0xd417144312dbf50465b1c641d016962017ef6240,2480018602.559999
BZZ (BZZ),703,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,1271943651.71
Centrifuge (CFG),409,0xc221b7e65ffc80de234bbb6667abdd46593d34f0,1248781834.8000016
ArcBlock (ABT),646,0xb98d4c97425d9908e66e53a6fdf673acca0be986,1223546603.8800023
Convergence (CONV),345,0xc834fa996fa3bec7aad3693af486ae53d8aa8b50,531705240.7799995
BoringDAO (BORING),304,0xbc19712feb3a26080ebf6f2f7849b417fdd792ca,810528541.9600003
Celsius (CEL),1289,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,488621310.29000115
Bitfinex LEO... (LEO),735,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,222034291.2400004
BLOCKv (VEE),278,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,91334335.90000004
Wall Street ... (WSM),1112,0xb62e45c3df611dce236a6ddc7a493d79f9dfadef,135825657.7399998
AVT (AVT),377,0x0d88ed6e74bbfd96b831231638b66c05571e824f,55842308.66999997
NAGA Coin (NGC),545,0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131,23775788.88000001
Zipper (ZIP),393,0xa9d2927d3a04309e008b6af6e2e282ae2952e7fd,6056348.629999948
BitDAO (BIT),1057,0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5,763502768.2200013
UCOT (UCT),264,0x3c4bEa627039F0B7e7d21E34bB9C9FE962977518,4401062.160000006
ATLANT (ATL),265,0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05,3795413.600000005
CEEK (CEEK),700,0xb056c38f6b7dc4064367403e26424cd2c60655e1,48405231.36999999
ICONOMI (ICN),244,0x888666CA69E0f178DED6D75b5726Cee99A87D698,1754152.599999993
Fair Token (FAIR),368,0x9b20dabcec77f6289113e61893f7beefaeb1990a,1419102.1000000078
HitchainCoin (HIT),343,0x7995ab36bb307afa6a683c24a25d90dc1ea83566,15972489.279999979
SAN (SAN),628,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,35127546.87000001
ChangeBank (CAG),264,0x7d4b8cce0591c9044a22ee543533b72e976e36c3,486391.5800000001
BANKEX (BKX),362,0x45245bc59219eeaaf6cd3f382e078a461ff9de7b,114133.43999999955
MEDIBIT (MEDIBI...),244,0x737fa0372c8d001904ae6acaf0552d4015f9c947,67741.71999999977
VidyCoin (VIDY),853,0xc77b230f31b517f1ef362e59c173c2be6540b5e8,7767711.780000003
Wojak Coin (WOJAK),1252,0x5026F006B85729a8b14553FAE6af249aD16c9aaB,609949590.3199998
CosmoCoin (COSM),249,0xd1e10c37a27d95d95720291b1dc6f12f74c71443,2693.7599999999934
Moneynet Coi... (MNC),244,0xbac7a1798350cdf2dbfe0c210c2c9861223f4b31,1100.4399999999982
Baer Chain (BRC),373,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,2897.3800000000156
Cajutel (CAJ),244,0x3c6a7ab47b5f058be0e7c7fe1a4b7925b8aca40e,152.57999999999998
Free Coin (FREE),492,0x2f141ce366a2462f02cea3d12cf93e4dca49e4fd,60776308.87000023
Arcona Distr... (ARCONA),249,0x0f71b8de197a1c84d31de0f1fa7926c365f052b3,20.989999999999885
BOX Token (BOX),244,0xe1A178B681BD05964d3e3Ed33AE731577d9d96dD,2.439999999999992
Neural Proto... (NRP),244,0x3918c42f14f2eb1168365f911f63e540e5a306b5,0.0
NewOS Token (NEWOS),244,0x29536b7ca7029b5cddeb03c0451715615aca35ba,0.0
Airbloc (ABL),378,0xf8b358b3397a8ea5464f8cc753645d42e14b79ea,17115.309999999987
AMIS (AMIS),249,0x949bEd886c739f1A3273629b3320db0C5024c719,0.0
BitBall (BTB),282,0x06e0feb0d74106c7ada8497754074d222ec6bcdf,0.0
BitUP Token (BUT),244,0xb2e260f12406c401874ecc960893c0f74cd6afcd,0.0
BingoCoin (BOC),244,0x4b317864a05c91225ab8f401ec7be0aeb87e9c12,0.0
BioCrypt (BIO),661,0xf18432ef894ef4b2a5726f933718f5a8cf9ff831,0.0
Buggyra Coin... (BCZERO),244,0xd45247c07379d94904e0a87b4481f0a1ddfa0c64,0.0
Deep Health ... (DHT),244,0xcc771a11d368a76e6fa34b3aab8227297f48fe41,0.0
EQUAL (EQL),347,0x47dd62d4d075dead71d0e00299fc56a2d747bebb,0.0
Hash Power T... (HPC),342,0x1a0c31837edb132a9312841b9527e6307db13509,0.0
Ifoods Token (IFOOD),244,0x81e74a3ea4bab2277aa3b941e9d9f37b08ac5374,0.0
