address,url,numdayshrs (lastTXN),dayshrs (lastTXN),numdayshrs (firstTXN),dayshrs (firstTXN),current_eth_portfolio,dropdownMenuBalance,ethATH,usdATH
0xef572fbbdb552a00bdc2a3e3bc9306df9e9e169d,https://etherscan.io/address/0xef572fbbdb552a00bdc2a3e3bc9306df9e9e169d#analytics,100,days,1261,days,0,0.26,14.82299990699582,9809.01
0x793f6c86da7109f83fbb9cd6592cfa9e89a95616,https://etherscan.io/address/0x793f6c86da7109f83fbb9cd6592cfa9e89a95616#analytics,12,hrs,1264,days,0,88287.44,77.87361964704873,116246.56
0x793f6c86da7109f83fbb9cd6592cfa9e89a95616,https://etherscan.io/address/0x793f6c86da7109f83fbb9cd6592cfa9e89a95616#analytics,12,hrs,1264,days,0,88287.44,77.87361964704873,116246.56
0xe3a259f673b257095b19825614027fa9b978e146,https://etherscan.io/address/0xe3a259f673b257095b19825614027fa9b978e146#analytics,1016,days,1290,days,0,13.48,32.12265864863147,8854.61
0xb75994a4972e07e2a37b89d716685aecbba6c0c4,https://etherscan.io/address/0xb75994a4972e07e2a37b89d716685aecbba6c0c4#analytics,24,days,1705,days,0,47.88,5.066704,7898.09
0x98b0b3af0b58333979adb6f182137144f2566f66,https://etherscan.io/address/0x98b0b3af0b58333979adb6f182137144f2566f66#analytics,2,days,1305,days,0,10306.70,19.38351131012651,5332.1
0xe8c0c83c181aacdab4f48624b5574cc88ad8e840,https://etherscan.io/address/0xe8c0c83c181aacdab4f48624b5574cc88ad8e840#analytics,902,days,1238,days,0,0.00,77.94674337579336,28049.92
0xec9f4a83813f83b9da7812128f076cbb66c61cec,https://etherscan.io/address/0xec9f4a83813f83b9da7812128f076cbb66c61cec#analytics,5,days,2139,days,0,3059.14,6.7459148348297955,5683.79
0x796308116a54086e9cef325737f37189f2a79cbd,https://etherscan.io/address/0x796308116a54086e9cef325737f37189f2a79cbd#analytics,34,days,1221,days,0,240.67,60.579801152804585,74478.83
0x8d74eec08e2d171d2e396254bdc4e81c6d4aa80c,https://etherscan.io/address/0x8d74eec08e2d171d2e396254bdc4e81c6d4aa80c#analytics,850,days,1215,days,0,0.00,74.81974700134197,29233.57
0x9937f99db80a8ea325e1ca5d08c7212165fc7ebf,https://etherscan.io/address/0x9937f99db80a8ea325e1ca5d08c7212165fc7ebf#analytics,958,days,1214,days,0,18.87,22.524011379662355,7811.55
0x0f5c47bdeffeb8bfc5abbf8dde342cf7c1cc1f85,https://etherscan.io/address/0x0f5c47bdeffeb8bfc5abbf8dde342cf7c1cc1f85#analytics,8,days,1289,days,0,252.04,4.327495817513211,5226.42
0xa21bb86c5ea3e3ed98baa50be086ee0fb931843f,https://etherscan.io/address/0xa21bb86c5ea3e3ed98baa50be086ee0fb931843f#analytics,157,days,2186,days,3,33635.94,329.39569097567346,265105.18
0xd21c8d2ed78c25fade8966c42f1cec79288c205d,https://etherscan.io/address/0xd21c8d2ed78c25fade8966c42f1cec79288c205d#analytics,682,days,1274,days,0,12103657.49,67.0209247850565,29477.81
0xad02b6d3f43e22289c20f2843832f5e6c22fd472,https://etherscan.io/address/0xad02b6d3f43e22289c20f2843832f5e6c22fd472#analytics,5,days,1631,days,1,5889.75,36.069826415229684,100060.72
0x3dd4234daeefbabceaa6068c04c3f75f19aa2cda,https://etherscan.io/address/0x3dd4234daeefbabceaa6068c04c3f75f19aa2cda#analytics,82,days,1219,days,2,1079.50,66.89135210331526,167877.23
0x137e1232533ed914201b04c1c04dafe3a16a4b8b,https://etherscan.io/address/0x137e1232533ed914201b04c1c04dafe3a16a4b8b#analytics,10,hrs,1245,days,0,3.35,10.389477220097078,4322.44
0x796308116a54086e9cef325737f37189f2a79cbd,https://etherscan.io/address/0x796308116a54086e9cef325737f37189f2a79cbd#analytics,34,days,1221,days,0,240.67,60.579801152804585,74478.83
0xdd963ec4c0841f719f1cf88a2e9ba5a65c14a8f1,https://etherscan.io/address/0xdd963ec4c0841f719f1cf88a2e9ba5a65c14a8f1#analytics,57,days,1281,days,0,11.01,33.5750565403142,11841.18
0xa538311df7dc52bbe861f6e3efdd749730503cae,https://etherscan.io/address/0xa538311df7dc52bbe861f6e3efdd749730503cae#analytics,19,days,1440,days,0,451.16,61.364311438342355,114998.04
0xf5ee1986c9ec8601e8da5f6e2aea1a19f582d224,https://etherscan.io/address/0xf5ee1986c9ec8601e8da5f6e2aea1a19f582d224#analytics,21,days,1289,days,0,1195.21,137.23333086767903,50652.8
0x54b04cfd7b35543bca96cccfac0a768cbb880bab,https://etherscan.io/address/0x54b04cfd7b35543bca96cccfac0a768cbb880bab#analytics,150,days,1261,days,0,1020.24,6.297024670683614,6808.23
0xd3f714357a3a5ab971941ca475a006814edd0d2b,https://etherscan.io/address/0xd3f714357a3a5ab971941ca475a006814edd0d2b#analytics,14,days,1260,days,4,18452.77,230.3478117751967,153447.64
0xfc386a6aced09df1537ef70950a3c482c40e5088,https://etherscan.io/address/0xfc386a6aced09df1537ef70950a3c482c40e5088#analytics,572,days,2138,days,0,9.46,8.181323311309296,6133.38
0xb25b1499bdbeb5a23653798364faec4ee464867f,https://etherscan.io/address/0xb25b1499bdbeb5a23653798364faec4ee464867f#analytics,942,days,1223,days,0,3618.33,248.5781900306378,104994.46
0x94988487e4904e8085bd18edd9f4192c6e1744f2,https://etherscan.io/address/0x94988487e4904e8085bd18edd9f4192c6e1744f2#analytics,951,days,1238,days,0,12.51,30.50406721226643,12383.44
0x70a900cf0237d864e944b056c43b7ec5d25bbb3c,https://etherscan.io/address/0x70a900cf0237d864e944b056c43b7ec5d25bbb3c#analytics,129,days,1224,days,0,15.71,6.354372823678414,3607.19
0x437c73b2bfc54e83f208b3fbb37ef74ef85b8640,https://etherscan.io/address/0x437c73b2bfc54e83f208b3fbb37ef74ef85b8640#analytics,1204,days,1264,days,0,0.00,0.6378557373384754,252
0xeafe863757a2b2a2c5c3f71988b7d59329d09a78,https://etherscan.io/address/0xeafe863757a2b2a2c5c3f71988b7d59329d09a78#analytics,160,days,2185,days,0,3959.07,63.4109357815757,24748.02
0x54496860ffe1f5b62e29e362eaf1c99f2f26e0e1,https://etherscan.io/address/0x54496860ffe1f5b62e29e362eaf1c99f2f26e0e1#analytics,990,days,1280,days,0,7.92,1.2531812359824692,2311.92
0x11519ba13c6b5494f971baff171a1045261bed6c,https://etherscan.io/address/0x11519ba13c6b5494f971baff171a1045261bed6c#analytics,33,days,2142,days,0,7255.87,4.206257679426577,5469.27
0xa6ed98c6223d109df29c411946093d4a071aec69,https://etherscan.io/address/0xa6ed98c6223d109df29c411946093d4a071aec69#analytics,2,hrs,2148,days,0,15290.03,26.09319283,53980.55
0x1a0b23c7a77bc756427a0d03fbcd796c98a3e663,https://etherscan.io/address/0x1a0b23c7a77bc756427a0d03fbcd796c98a3e663#analytics,4,days,2141,days,0,784.82,20.329407838387816,15228.36
0xb25b1499bdbeb5a23653798364faec4ee464867f,https://etherscan.io/address/0xb25b1499bdbeb5a23653798364faec4ee464867f#analytics,942,days,1223,days,0,3618.33,248.5781900306378,104994.46
0x9ae07f7977f4371f0ea47dd4db69d1991fa14116,https://etherscan.io/address/0x9ae07f7977f4371f0ea47dd4db69d1991fa14116#analytics,242,days,2062,days,0,0.43,35.83643312113753,13731.8
0x0d4ddea3849c54e16c85cb4354943dc876e05552,https://etherscan.io/address/0x0d4ddea3849c54e16c85cb4354943dc876e05552#analytics,5,days,1991,days,0,308.21,88.21185001608721,196330.02
0xba03eca6b692532648c4da21840fb9af578147a2,https://etherscan.io/address/0xba03eca6b692532648c4da21840fb9af578147a2#analytics,12,days,1270,days,0,253.02,38.66128410310415,27959.15
0x7f5d7964c8569252aa781f4c516d240965dddab5,https://etherscan.io/address/0x7f5d7964c8569252aa781f4c516d240965dddab5#analytics,681,days,1257,days,0,7.89,86.32969148740123,33730.74
0x2a534e0186d3ba764bd28c612a9c8079134f2c36,https://etherscan.io/address/0x2a534e0186d3ba764bd28c612a9c8079134f2c36#analytics,118,days,1909,days,0,252.11,61.782019237327404,40830.13
0xf818acec29861228630df8361a611e0f88302958,https://etherscan.io/address/0xf818acec29861228630df8361a611e0f88302958#analytics,17,days,1252,days,0,157.15,139.37549815208908,563993.25
0x0788373603522a79fcc5710910c20067f64bad17,https://etherscan.io/address/0x0788373603522a79fcc5710910c20067f64bad17#analytics,2,days,1221,days,0,879.00,80.62888848525611,52736.24
0xc6aad8588ed7bc71a94b69c7f1824b33b3e4ab73,https://etherscan.io/address/0xc6aad8588ed7bc71a94b69c7f1824b33b3e4ab73#analytics,1087,days,1225,days,0,0.14,18.849027089002515,7298.15
0x4202c5aa18c934b96bc4aedb3da4593c44076618,https://etherscan.io/address/0x4202c5aa18c934b96bc4aedb3da4593c44076618#analytics,17,days,2223,days,0,86.26,139.96557725765405,83997.41
0xc1ba9285acbae7dc403153f9e5c2b4108ab5acdc,https://etherscan.io/address/0xc1ba9285acbae7dc403153f9e5c2b4108ab5acdc#analytics,1,day,1237,days,4,5009.79,62.931165325920745,113890.31
0x32000b565101e495d6e4b531d8251e0a0b3c7341,https://etherscan.io/address/0x32000b565101e495d6e4b531d8251e0a0b3c7341#analytics,30,days,1896,days,1,180847.87,420,314165.36
0xfe02cde742141321b7edd332eb0977a5976bc862,https://etherscan.io/address/0xfe02cde742141321b7edd332eb0977a5976bc862#analytics,31,days,2372,days,0,0.73,19.784495593532146,10895.26
